GEOID,NAME,total_units,old_units,old_housing_share
17031010100,Census Tract 101; Cook County; Illinois,2905.0,2477.0,0.8526678141135973
17031010201,Census Tract 102.01; Cook County; Illinois,3276.0,2331.0,0.7115384615384616
17031010202,Census Tract 102.02; Cook County; Illinois,1306.0,874.0,0.669218989280245
17031010300,Census Tract 103; Cook County; Illinois,3420.0,2594.0,0.7584795321637426
17031010400,Census Tract 104; Cook County; Illinois,2451.0,1925.0,0.7853937168502652
17031010501,Census Tract 105.01; Cook County; Illinois,2691.0,1572.0,0.5841694537346711
17031010502,Census Tract 105.02; Cook County; Illinois,1857.0,1509.0,0.8126009693053312
17031010503,Census Tract 105.03; Cook County; Illinois,1572.0,985.0,0.6265903307888041
17031010600,Census Tract 106; Cook County; Illinois,3181.0,2485.0,0.7812008802263439
17031010701,Census Tract 107.01; Cook County; Illinois,1782.0,1434.0,0.8047138047138047
17031010702,Census Tract 107.02; Cook County; Illinois,2183.0,1674.0,0.7668346312414109
17031020100,Census Tract 201; Cook County; Illinois,1725.0,1175.0,0.6811594202898551
17031020200,Census Tract 202; Cook County; Illinois,2181.0,1958.0,0.8977533241632278
17031020301,Census Tract 203.01; Cook County; Illinois,2266.0,1498.0,0.6610767872903796
17031020302,Census Tract 203.02; Cook County; Illinois,1908.0,1572.0,0.8238993710691824
17031020400,Census Tract 204; Cook County; Illinois,1864.0,1654.0,0.8873390557939914
17031020500,Census Tract 205; Cook County; Illinois,2577.0,1770.0,0.6868451688009313
17031020601,Census Tract 206.01; Cook County; Illinois,2316.0,2099.0,0.9063039723661486
17031020602,Census Tract 206.02; Cook County; Illinois,1771.0,1472.0,0.8311688311688312
17031020701,Census Tract 207.01; Cook County; Illinois,833.0,691.0,0.82953181272509
17031020702,Census Tract 207.02; Cook County; Illinois,2621.0,1932.0,0.7371232354063335
17031020801,Census Tract 208.01; Cook County; Illinois,2354.0,2106.0,0.8946474086661003
17031020802,Census Tract 208.02; Cook County; Illinois,2293.0,1918.0,0.8364587876144789
17031020901,Census Tract 209.01; Cook County; Illinois,2398.0,2172.0,0.9057547956630525
17031020902,Census Tract 209.02; Cook County; Illinois,1713.0,1152.0,0.6725043782837128
17031030101,Census Tract 301.01; Cook County; Illinois,2445.0,1093.0,0.4470347648261759
17031030102,Census Tract 301.02; Cook County; Illinois,2226.0,1681.0,0.7551662174303684
17031030103,Census Tract 301.03; Cook County; Illinois,1166.0,671.0,0.5754716981132075
17031030104,Census Tract 301.04; Cook County; Illinois,1244.0,853.0,0.6856913183279743
17031030200,Census Tract 302; Cook County; Illinois,2855.0,2380.0,0.8336252189141856
17031030300,Census Tract 303; Cook County; Illinois,1540.0,1208.0,0.7844155844155845
17031030400,Census Tract 304; Cook County; Illinois,1451.0,880.0,0.6064782908339077
17031030500,Census Tract 305; Cook County; Illinois,3352.0,2881.0,0.8594868735083532
17031030601,Census Tract 306.01; Cook County; Illinois,2143.0,1593.0,0.7433504433037798
17031030603,Census Tract 306.03; Cook County; Illinois,1498.0,1108.0,0.739652870493992
17031030604,Census Tract 306.04; Cook County; Illinois,2502.0,1880.0,0.7513988808952837
17031030701,Census Tract 307.01; Cook County; Illinois,975.0,683.0,0.7005128205128205
17031030702,Census Tract 307.02; Cook County; Illinois,1665.0,462.0,0.2774774774774775
17031030703,Census Tract 307.03; Cook County; Illinois,2029.0,1138.0,0.5608674223755544
17031030706,Census Tract 307.06; Cook County; Illinois,2166.0,1427.0,0.6588180978762697
17031030800,Census Tract 308; Cook County; Illinois,2408.0,2166.0,0.8995016611295681
17031030900,Census Tract 309; Cook County; Illinois,1738.0,1510.0,0.8688147295742232
17031031000,Census Tract 310; Cook County; Illinois,2332.0,1771.0,0.7594339622641509
17031031100,Census Tract 311; Cook County; Illinois,3159.0,2654.0,0.840139284583729
17031031200,Census Tract 312; Cook County; Illinois,3689.0,2388.0,0.6473298997018162
17031031300,Census Tract 313; Cook County; Illinois,4824.0,3120.0,0.6467661691542289
17031031400,Census Tract 314; Cook County; Illinois,3614.0,2251.0,0.6228555617044825
17031031501,Census Tract 315.01; Cook County; Illinois,2234.0,1505.0,0.6736794986571173
17031031502,Census Tract 315.02; Cook County; Illinois,2902.0,1708.0,0.5885596140592695
17031031700,Census Tract 317; Cook County; Illinois,3831.0,3027.0,0.7901331245105716
17031031800,Census Tract 318; Cook County; Illinois,1033.0,680.0,0.6582768635043562
17031031900,Census Tract 319; Cook County; Illinois,1442.0,913.0,0.6331484049930652
17031032100,Census Tract 321; Cook County; Illinois,4537.0,2983.0,0.657482918227904
17031040100,Census Tract 401; Cook County; Illinois,2028.0,1294.0,0.6380670611439843
17031040201,Census Tract 402.01; Cook County; Illinois,3283.0,2390.0,0.7279926896131587
17031040202,Census Tract 402.02; Cook County; Illinois,3108.0,2092.0,0.6731016731016731
17031040300,Census Tract 403; Cook County; Illinois,1136.0,941.0,0.8283450704225352
17031040401,Census Tract 404.01; Cook County; Illinois,1655.0,1436.0,0.8676737160120845
17031040402,Census Tract 404.02; Cook County; Illinois,2849.0,2032.0,0.7132327132327132
17031040600,Census Tract 406; Cook County; Illinois,1423.0,1198.0,0.8418833450456782
17031040700,Census Tract 407; Cook County; Illinois,1792.0,1484.0,0.828125
17031040800,Census Tract 408; Cook County; Illinois,928.0,850.0,0.915948275862069
17031040900,Census Tract 409; Cook County; Illinois,1219.0,1004.0,0.8236259228876128
17031050100,Census Tract 501; Cook County; Illinois,1260.0,1038.0,0.8238095238095238
17031050200,Census Tract 502; Cook County; Illinois,2447.0,1237.0,0.5055169595422967
17031050300,Census Tract 503; Cook County; Illinois,1238.0,844.0,0.6817447495961227
17031050500,Census Tract 505; Cook County; Illinois,2326.0,1648.0,0.708512467755804
17031050600,Census Tract 506; Cook County; Illinois,1274.0,879.0,0.6899529042386185
17031050700,Census Tract 507; Cook County; Illinois,779.0,603.0,0.7740693196405648
17031050800,Census Tract 508; Cook County; Illinois,550.0,301.0,0.5472727272727272
17031050900,Census Tract 509; Cook County; Illinois,734.0,544.0,0.7411444141689373
17031051000,Census Tract 510; Cook County; Illinois,738.0,390.0,0.5284552845528455
17031051100,Census Tract 511; Cook County; Illinois,843.0,545.0,0.6465005931198102
17031051200,Census Tract 512; Cook County; Illinois,665.0,361.0,0.5428571428571428
17031051300,Census Tract 513; Cook County; Illinois,1104.0,519.0,0.4701086956521739
17031051400,Census Tract 514; Cook County; Illinois,1176.0,649.0,0.5518707482993197
17031060100,Census Tract 601; Cook County; Illinois,1398.0,1070.0,0.765379113018598
17031060200,Census Tract 602; Cook County; Illinois,1234.0,987.0,0.799837925445705
17031060300,Census Tract 603; Cook County; Illinois,1339.0,1098.0,0.8200149365197908
17031060400,Census Tract 604; Cook County; Illinois,1708.0,853.0,0.4994145199063232
17031060500,Census Tract 605; Cook County; Illinois,797.0,528.0,0.6624843161856964
17031060800,Census Tract 608; Cook County; Illinois,3977.0,2346.0,0.5898918783002263
17031060900,Census Tract 609; Cook County; Illinois,5240.0,2959.0,0.5646946564885497
17031061000,Census Tract 610; Cook County; Illinois,1274.0,654.0,0.5133437990580848
17031061100,Census Tract 611; Cook County; Illinois,826.0,461.0,0.5581113801452785
17031061200,Census Tract 612; Cook County; Illinois,935.0,626.0,0.6695187165775401
