GEOID,NAME,total_units,renter_units,renter_share
17031010100,Census Tract 101; Cook County; Illinois,2284.0,1596.0,0.6987740805604203
17031010201,Census Tract 102.01; Cook County; Illinois,2972.0,2047.0,0.6887617765814267
17031010202,Census Tract 102.02; Cook County; Illinois,1139.0,889.0,0.7805092186128183
17031010300,Census Tract 103; Cook County; Illinois,3243.0,2176.0,0.6709836571076164
17031010400,Census Tract 104; Cook County; Illinois,2099.0,1632.0,0.7775131014768938
17031010501,Census Tract 105.01; Cook County; Illinois,2458.0,2065.0,0.8401139137510171
17031010502,Census Tract 105.02; Cook County; Illinois,1606.0,1222.0,0.7608966376089664
17031010503,Census Tract 105.03; Cook County; Illinois,1455.0,1301.0,0.8941580756013746
17031010600,Census Tract 106; Cook County; Illinois,3132.0,1802.0,0.5753512132822478
17031010701,Census Tract 107.01; Cook County; Illinois,1687.0,835.0,0.4949614700652045
17031010702,Census Tract 107.02; Cook County; Illinois,1948.0,1606.0,0.824435318275154
17031020100,Census Tract 201; Cook County; Illinois,1676.0,993.0,0.5924821002386634
17031020200,Census Tract 202; Cook County; Illinois,2052.0,345.0,0.16812865497076024
17031020301,Census Tract 203.01; Cook County; Illinois,2094.0,566.0,0.2702960840496657
17031020302,Census Tract 203.02; Cook County; Illinois,1807.0,674.0,0.3729939125622579
17031020400,Census Tract 204; Cook County; Illinois,1658.0,851.0,0.5132689987937273
17031020500,Census Tract 205; Cook County; Illinois,2313.0,1570.0,0.6787721573713792
17031020601,Census Tract 206.01; Cook County; Illinois,2074.0,1263.0,0.6089681774349084
17031020602,Census Tract 206.02; Cook County; Illinois,1637.0,610.0,0.37263286499694565
17031020701,Census Tract 207.01; Cook County; Illinois,751.0,254.0,0.3382157123834887
17031020702,Census Tract 207.02; Cook County; Illinois,2620.0,1337.0,0.5103053435114504
17031020801,Census Tract 208.01; Cook County; Illinois,2211.0,1260.0,0.5698778833107191
17031020802,Census Tract 208.02; Cook County; Illinois,2086.0,1250.0,0.5992329817833174
17031020901,Census Tract 209.01; Cook County; Illinois,2143.0,1400.0,0.653289780681288
17031020902,Census Tract 209.02; Cook County; Illinois,1481.0,764.0,0.5158676569885212
17031030101,Census Tract 301.01; Cook County; Illinois,2270.0,1672.0,0.7365638766519824
17031030102,Census Tract 301.02; Cook County; Illinois,2028.0,1238.0,0.6104536489151874
17031030103,Census Tract 301.03; Cook County; Illinois,1100.0,787.0,0.7154545454545455
17031030104,Census Tract 301.04; Cook County; Illinois,1101.0,730.0,0.6630336058128974
17031030200,Census Tract 302; Cook County; Illinois,2614.0,1254.0,0.4797245600612089
17031030300,Census Tract 303; Cook County; Illinois,1441.0,958.0,0.6648160999306038
17031030400,Census Tract 304; Cook County; Illinois,1394.0,802.0,0.5753228120516499
17031030500,Census Tract 305; Cook County; Illinois,3120.0,1400.0,0.44871794871794873
17031030601,Census Tract 306.01; Cook County; Illinois,1974.0,1443.0,0.7310030395136778
17031030603,Census Tract 306.03; Cook County; Illinois,1302.0,1181.0,0.9070660522273426
17031030604,Census Tract 306.04; Cook County; Illinois,2234.0,1672.0,0.7484333034914951
17031030701,Census Tract 307.01; Cook County; Illinois,917.0,730.0,0.7960741548527808
17031030702,Census Tract 307.02; Cook County; Illinois,1482.0,589.0,0.3974358974358974
17031030703,Census Tract 307.03; Cook County; Illinois,1858.0,1304.0,0.7018299246501615
17031030706,Census Tract 307.06; Cook County; Illinois,1936.0,1277.0,0.6596074380165289
17031030800,Census Tract 308; Cook County; Illinois,2211.0,1125.0,0.508819538670285
17031030900,Census Tract 309; Cook County; Illinois,1519.0,927.0,0.6102699144173799
17031031000,Census Tract 310; Cook County; Illinois,2195.0,1303.0,0.593621867881549
17031031100,Census Tract 311; Cook County; Illinois,3108.0,2472.0,0.7953667953667953
17031031200,Census Tract 312; Cook County; Illinois,3413.0,2784.0,0.8157046586580721
17031031300,Census Tract 313; Cook County; Illinois,4216.0,2630.0,0.6238140417457305
17031031400,Census Tract 314; Cook County; Illinois,3128.0,1713.0,0.5476342710997443
17031031501,Census Tract 315.01; Cook County; Illinois,2094.0,1711.0,0.8170964660936008
17031031502,Census Tract 315.02; Cook County; Illinois,2533.0,2351.0,0.9281484405842874
17031031700,Census Tract 317; Cook County; Illinois,3341.0,2062.0,0.6171804848847651
17031031800,Census Tract 318; Cook County; Illinois,951.0,542.0,0.5699263932702419
17031031900,Census Tract 319; Cook County; Illinois,1417.0,914.0,0.6450247000705717
17031032100,Census Tract 321; Cook County; Illinois,4220.0,3264.0,0.7734597156398104
17031040100,Census Tract 401; Cook County; Illinois,1974.0,1031.0,0.522289766970618
17031040201,Census Tract 402.01; Cook County; Illinois,3188.0,1668.0,0.5232120451693852
17031040202,Census Tract 402.02; Cook County; Illinois,2839.0,1719.0,0.6054948925678055
17031040300,Census Tract 403; Cook County; Illinois,1126.0,395.0,0.35079928952042627
17031040401,Census Tract 404.01; Cook County; Illinois,1579.0,712.0,0.45091830272324257
17031040402,Census Tract 404.02; Cook County; Illinois,2507.0,1890.0,0.7538891104906262
17031040600,Census Tract 406; Cook County; Illinois,1276.0,684.0,0.5360501567398119
17031040700,Census Tract 407; Cook County; Illinois,1683.0,1008.0,0.5989304812834224
17031040800,Census Tract 408; Cook County; Illinois,824.0,480.0,0.5825242718446602
17031040900,Census Tract 409; Cook County; Illinois,1145.0,720.0,0.62882096069869
17031050100,Census Tract 501; Cook County; Illinois,1117.0,618.0,0.5532676812891674
17031050200,Census Tract 502; Cook County; Illinois,2183.0,831.0,0.38066880439761797
17031050300,Census Tract 503; Cook County; Illinois,1204.0,495.0,0.4111295681063123
17031050500,Census Tract 505; Cook County; Illinois,2044.0,880.0,0.43052837573385516
17031050600,Census Tract 506; Cook County; Illinois,1198.0,592.0,0.4941569282136895
17031050700,Census Tract 507; Cook County; Illinois,713.0,360.0,0.5049088359046283
17031050800,Census Tract 508; Cook County; Illinois,481.0,206.0,0.4282744282744283
17031050900,Census Tract 509; Cook County; Illinois,672.0,437.0,0.6502976190476191
17031051000,Census Tract 510; Cook County; Illinois,688.0,216.0,0.313953488372093
17031051100,Census Tract 511; Cook County; Illinois,718.0,326.0,0.45403899721448465
17031051200,Census Tract 512; Cook County; Illinois,628.0,340.0,0.5414012738853503
17031051300,Census Tract 513; Cook County; Illinois,1077.0,246.0,0.22841225626740946
17031051400,Census Tract 514; Cook County; Illinois,1057.0,428.0,0.40491958372753073
17031060100,Census Tract 601; Cook County; Illinois,1245.0,456.0,0.36626506024096384
17031060200,Census Tract 602; Cook County; Illinois,1187.0,744.0,0.6267902274641954
17031060300,Census Tract 603; Cook County; Illinois,1286.0,706.0,0.5489891135303266
17031060400,Census Tract 604; Cook County; Illinois,1578.0,850.0,0.5386565272496832
17031060500,Census Tract 605; Cook County; Illinois,738.0,532.0,0.7208672086720868
17031060800,Census Tract 608; Cook County; Illinois,3634.0,1976.0,0.5437534397358282
17031060900,Census Tract 609; Cook County; Illinois,5076.0,2445.0,0.48167848699763594
17031061000,Census Tract 610; Cook County; Illinois,1143.0,826.0,0.7226596675415573
17031061100,Census Tract 611; Cook County; Illinois,751.0,504.0,0.6711051930758988
17031061200,Census Tract 612; Cook County; Illinois,870.0,522.0,0.6
17031061500,Census Tract 615; Cook County; Illinois,880.0,511.0,0.5806818181818182
17031061800,Census Tract 618; Cook County; Illinois,773.0,603.0,0.7800776196636481
17031061901,Census Tract 619.01; Cook County; Illinois,2690.0,2151.0,0.7996282527881041
17031061902,Census Tract 619.02; Cook County; Illinois,2962.0,2016.0,0.6806212018906145
17031062000,Census Tract 620; Cook County; Illinois,1831.0,1444.0,0.7886400873839432
17031062100,Census Tract 621; Cook County; Illinois,2186.0,1610.0,0.7365050320219579
17031062200,Census Tract 622; Cook County; Illinois,1427.0,629.0,0.44078486334968464
17031062300,Census Tract 623; Cook County; Illinois,610.0,260.0,0.4262295081967213
