"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","340700","139260",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","239900","60030",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","338000","121084",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","248500","98326",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","231100","65481",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","400300","371453",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","296100","61026",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","431800","239527",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","232100","50612",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","367200","46429",
"1400000US17031010702","Census Tract 107.02; Cook County; Illinois","230600","46324",
"1400000US17031020100","Census Tract 201; Cook County; Illinois","237900","46808",
"1400000US17031020200","Census Tract 202; Cook County; Illinois","425600","47550",
"1400000US17031020301","Census Tract 203.01; Cook County; Illinois","219200","14496",
"1400000US17031020302","Census Tract 203.02; Cook County; Illinois","296300","62096",
"1400000US17031020400","Census Tract 204; Cook County; Illinois","344200","81366",
"1400000US17031020500","Census Tract 205; Cook County; Illinois","184300","19452",
"1400000US17031020601","Census Tract 206.01; Cook County; Illinois","409300","133372",
"1400000US17031020602","Census Tract 206.02; Cook County; Illinois","423000","82287",
"1400000US17031020701","Census Tract 207.01; Cook County; Illinois","459800","24249",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","225900","91372",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","389400","124049",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","450000","83127",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","219900","28925",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","122600","31021",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","274800","23020",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","232800","48731",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","197500","96203",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","162300","10634",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","527300","76265",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","379700","190571",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","437300","120371",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","341000","56076",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","322600","48777",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","326300","52757",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","236400","44986",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","271800","51980",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","197400","17326",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","342700","49185",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","355400","90972",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","512500","103567",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","444300","106575",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","350200","53193",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","367900","49423",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","338800","82172",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","172500","137410",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","296300","38247",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","382100","98699",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","287900","39456",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","463300","33045",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","412800","58009",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","465900","38461",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","287700","182230",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","619200","62428",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","464100","49407",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","283500","79214",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","501300","63699",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","445900","78943",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","335800","67525",
