"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2363","147","497","135","1866","182",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","2747","158","691","160","2056","178",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1136","66","259","63","877","88",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3091","178","1042","184","2049","203",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","1988","167","422","120","1566","178",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2374","166","321","103","2053","180",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1572","110","339","79","1233","117",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1059","108","189","53","870","122",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","2933","204","647","126","2286","225",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1512","82","724","125","788","116",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2083","93","480","99","1603","137",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1504","134","662","122","842","171",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2069","123","1599","149","470","169",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","2093","102","1528","114","565","124",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1726","103","1038","197","688","183",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1675","102","924","132","751","133",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2094","165","539","166","1555","223",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","1959","172","896","175","1063","208",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1394","95","608","97","786","130",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","677","55","455","71","222","63",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","2396","132","750","179","1646","210",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","2213","96","1011","185","1202","181",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","2315","157","710","170","1605","210",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","1950","93","640","117","1310","131",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1649","83","886","131","763","153",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","2035","208","727","163","1308","197",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","1864","125","662","94","1202","125",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","885","108","229","85","656","93",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1050","77","423","80","627","101",
