"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2631","80","0","11","0","11","26","32","45","43","87","63","172","89","205","140","229","109","263","151","1604","232",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","2982","111","0","16","0","16","75","70","72","55","137","107","373","148","403","152","521","164","277","147","1124","194",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1268","36","0","11","0","11","70","42","52","53","23","19","123","64","89","45","188","73","140","67","583","109",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3383","83","0","16","0","16","194","129","103","67","169","130","160","87","323","156","222","114","345","133","1867","270",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2226","105","0","16","0","16","17","28","0","16","54","50","193","81","210","93","241","128","353","153","1158","191",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2668","81","18","28","0","11","84","58","164","89","251","112","147","98","249","109","268","139","484","148","1003","176",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1758","72","0","11","0","11","42","22","20","22","63","44","194","67","264","78","93","58","253","94","829","116",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1299","74","29","22","116","62","76","40","75","49","31","24","110","56","106","68","97","62","90","55","569","112",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3309","59","0","16","15","25","39","44","141","110","59","46","238","108","313","110","361","153","398","193","1745","256",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1708","24","12","20","0","11","20","32","46","43","23","27","239","87","146","62","224","90","167","64","831","114",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2259","32","0","16","0","16","71","44","68","48","156","72","227","77","226","85","234","106","332","107","945","150",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1732","44","0","11","11","18","15","21","22","25","78","60","220","108","175","70","426","122","85","44","700","148",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2245","52","0","16","24","39","33","42","0","16","0","16","270","151","196","140","929","155","363","139","430","150",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","2241","29","0","16","0","16","97","50","70","60","34","36","435","112","680","137","362","102","226","82","337","98",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1893","37","0","16","0","16","97","122","51","36","11","18","39","36","198","64","521","188","170","75","806","181",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1853","62","0","11","0","11","145","50","6","10","52","40","153","64","274","110","312","95","245","107","666","119",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2399","111","27","33","0","16","34","33","41","46","107","71","176","93","360","117","232","117","366","156","1056","207",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","2153","95","24","29","0","16","31","41","82","73","38","45","199","103","254","149","476","175","295","166","754","196",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1553","49","0","11","0","11","0","11","0","11","9","14","20","21","67","56","106","56","204","103","1147","124",
